Index,Name,Team,LP,GP,W%,OE Rating,Split,,,,,
100,Dardoch,IMT,125,35,0.57,A-,Spring 1,,,,,
101,cody,INF,130,56,0.48,B,Spring 1,,,,,
102,Copy,C9,125,20,0.75,A+,Spring 1,,,,,
103,Tactical,TSM,120,36,0.56,A-,Spring 1,,,,,
104,Lyg,EST,140,111,0.41,C,Spring 1,,,,,
105,WildTurtle,IMT,115,43,0.51,A-,Spring 1,,,,,
106,5fire,NOT,110,29,0.59,A,Spring 1,,,,,
107,Strompest,SLU,135,89,0.42,C,Spring 1,,,,,
108,Contractz,CLG,110,17,0.76,A+,Spring 1,,,,,
109,Bradley,TL,120,88,0.42,C+,Spring 1,,,,,
110,Array,100X,105,73,0.42,C+,Spring 1,,,,,
111,Fix,GET,95,97,0.39,C-,Spring 1,,,,,
112,Wixxi,100,110,43,0.49,B-,Spring 1,,,,,
113,Keith,-,105,72,0.42,C+,Spring 1,,,,,
114,Chad,IMT,90,36,0.5,A,Spring 1,,,,,
115,Minui,WC,100,30,0.53,B+,Spring 1,,,,,
116,Chime,GG,85,31,0.52,B+,Spring 1,,,,,
117,Bardito,GET,95,43,0.47,B,Spring 1,,,,,
118,Messages,3P,95,25,0.56,B+,Spring 1,,,,,
119,Ackerman,INF,90,38,0.47,B,Spring 1,,,,,
120,Prismal,CLG,80,47,0.45,B,Spring 1,,,,,
121,Yuuji,FLY,80,68,0.41,C+,Spring 1,,,,,
122,Hyper,TSM,80,18,0.61,B,Spring 1,,,,,
123,Raheen,-,70,19,0.58,B+,Spring 1,,,,,
124,Kim Down,UCI,75,19,0.58,B,Spring 1,,,,,
125,Qit0ng,-,20,2,1,C+,Spring 1,,,,,
126,Nightstar,TA,85,59,0.41,C,Spring 1,,,,,
127,Trixter,TG,70,17,0.59,A,Spring 1,,,,,
128,Chookies,UST,70,23,0.52,B,Spring 1,,,,,
129,Ssumday,100,75,56,0.41,C+,Spring 1,,,,,
130,Archer,XTN,80,75,0.39,C,Spring 1,,,,,
131,Crazy Goose,WCA,60,72,0.39,C,Spring 1,,,,,
132,Enigma,-,60,16,0.56,B,Spring 1,,,,,
133,Keaiduo,TSM,65,10,0.7,A,Spring 1,,,,,
134,Slow,R7,60,43,0.42,C+,Spring 1,,,,,
135,Solo,-,55,13,0.62,A-,Spring 1,,,,,
136,Gryffinn,NOT,85,61,0.39,C,Spring 1,,,,,
137,Poome,CLG,55,58,0.4,C+,Spring 1,,,,,
138,Spica,TSM,55,13,0.62,B+,Spring 1,,,,,
139,Danny,EG,55,16,0.56,B+,Spring 1,,,,,
140,Horus,XTN,50,14,0.57,A-,Spring 1,,,,,
141,Saico,SN,60,35,0.43,B-,Spring 1,,,,,
142,Soligo,EG,60,65,0.38,C,Spring 1,,,,,
143,5kid,AZE,50,26,0.46,B,Spring 1,,,,,
144,B3nji,BOG,50,17,0.53,B+,Spring 1,,,,,
145,Warangelus,GET,0,12,0.17,C,Spring 1,,,,,
146,k1ng,C9,55,20,0.5,B,Spring 1,,,,,
147,FakeGod,DIG,45,21,0.48,B,Spring 1,,,,,
148,Scoooped,NOT,45,9,0.67,A,Spring 1,,,,,
149,Cinna,UCI,45,15,0.53,A-,Spring 1,,,,,
150,Camilonicolau,XTN,45,27,0.44,B,Spring 1,,,,,
151,Duoking,GTC,45,9,0.67,A,Spring 1,,,,,
152,eXyu,DIG,45,28,0.43,B-,Spring 1,,,,,
153,Pobelter,-,55,79,0.37,C,Spring 1,,,,,
154,Blue,DIG,40,13,0.54,B+,Spring 1,,,,,
155,Doublelift,-,45,49,0.39,C+,Spring 1,,,,,
156,Dinka,-,40,4,1,A,Spring 1,,,,,
157,FrostForest,WIN,45,13,0.54,B,Spring 1,,,,,
158,Rhino,TL,10,1,1,A-,Spring 1,,,,,
159,Keel,100X,50,69,0.38,C,Spring 1,,,,,
160,Shady,MU,45,16,0.5,B+,Spring 1,,,,,
161,Huni,TSM,40,8,0.63,B+,Spring 1,,,,,
